X,Y,gmlid,cod_canton,canton,area,cod_provin,provincia,version,activos,positivos
-83.6463588613911,10.2016337993668,limitecantonal_5k.68,"706",Guácimo,581.05,"7",Limón,"20201222","163","5022"
-85.0043235900724,10.2477017897034,limitecantonal_5k.69,"507",Abangares,646.02,"5",Guanacaste,"20201222","551","1959"
-83.6786451252924,10.465190329885,limitecantonal_5k.70,"702",Pococí,2408.76,"7",Limón,"20201222","972","13753"
-84.4358873087458,10.5890505886685,limitecantonal_5k.71,"210",San Carlos,3352.31,"2",Alajuela,"20201222","3578","22822"
-85.1044872154281,10.4403303239352,limitecantonal_5k.72,"506",Cañas,687.05,"5",Guanacaste,"20201222","100","2410"
-84.9136566730852,10.4687504376145,limitecantonal_5k.73,"508",Tilarán,669.23,"5",Guanacaste,"20201222","169","1548"
-83.9948379495951,10.4982893933667,limitecantonal_5k.74,"410",Sarapiquí,2144.38,"4",Heredia,"20201222","756","5200"
-85.6019919549746,10.4596335120189,limitecantonal_5k.75,"505",Carrillo,599.01,"5",Guanacaste,"20201222","944","4366"
-84.2094412008351,10.4085708582923,limitecantonal_5k.76,"216",Río Cuarto,254.89,"2",Alajuela,"20201222","275","1158"
-85.2607417860837,10.5297226455353,limitecantonal_5k.77,"504",Bagaces,1277.93,"5",Guanacaste,"20201222","378","1907"
-84.8414194278924,10.694885425356,limitecantonal_5k.78,"215",Guatuso,752.84,"2",Alajuela,"20201222","215","2201"
-84.6662135597044,10.8841193421646,limitecantonal_5k.79,"214",Los Chiles,1332.71,"2",Alajuela,"20201222","117","2901"
-85.4901561103934,10.696857797919,limitecantonal_5k.80,"501",Liberia,1442.17,"5",Guanacaste,"20201222","1408","7513"
-85.1492856175916,10.8818169633582,limitecantonal_5k.81,"213",Upala,1592.67,"2",Alajuela,"20201222","1075","4904"
-85.5796377326312,11.0021998621106,limitecantonal_5k.82,"510",La Cruz,1385.38,"5",Guanacaste,"20201222","138","2786"
