gmlid,cod_canton,canton,area,cod_provin,provincia,version,activos,positivos
limitecantonal_5k.1,"610",Corredores,623.61,"6",Puntarenas,"20201222","187","5949"
limitecantonal_5k.2,"607",Golfito,1753.42,"6",Puntarenas,"20201222","155","4027"
limitecantonal_5k.3,"608",Coto Brus,944.24,"6",Puntarenas,"20201222","87","2934"
limitecantonal_5k.4,"605",Osa,1932.03,"6",Puntarenas,"20201222","157","3333"
limitecantonal_5k.5,"603",Buenos Aires,2382.94,"6",Puntarenas,"20201222","375","3049"
limitecantonal_5k.6,"119",Pérez Zeledón,1901.08,"1",San José,"20201222","647","12286"
limitecantonal_5k.7,"606",Quepos,557.85,"6",Puntarenas,"20201222","394","4311"
limitecantonal_5k.8,"704",Talamanca,2792.23,"7",Limón,"20201222","135","3444"
limitecantonal_5k.9,"609",Parrita,483.22,"6",Puntarenas,"20201222","105","2181"
limitecantonal_5k.10,"105",Tarrazú,291.27,"1",San José,"20201222","70","956"
limitecantonal_5k.11,"117",Dota,404.44,"1",San José,"20201222","15","320"
limitecantonal_5k.12,"611",Garabito,316.01,"6",Puntarenas,"20201222","733","4086"
limitecantonal_5k.13,"120",León Cortés Castro,121.89,"1",San José,"20201222","44","773"
limitecantonal_5k.14,"104",Puriscal,555.02,"1",San José,"20201222","692","2922"
limitecantonal_5k.15,"106",Aserrí,168.26,"1",San José,"20201222","925","6459"
limitecantonal_5k.16,"103",Desamparados,118.89,"1",San José,"20201222","2124","28055"
limitecantonal_5k.17,"112",Acosta,342.56,"1",San José,"20201222","322","2494"
limitecantonal_5k.18,"116",Turrubares,416.25,"1",San José,"20201222","115","385"
limitecantonal_5k.19,"308",El Guarco,172,"3",Cartago,"20201222","493","5701"
limitecantonal_5k.20,"301",Cartago,278.66,"3",Cartago,"20201222","2098","18765"
limitecantonal_5k.21,"601",Puntarenas,1840.37,"6",Puntarenas,"20201222","4013","18397"
limitecantonal_5k.22,"302",Paraíso,476.99,"3",Cartago,"20201222","118","4646"
limitecantonal_5k.23,"304",Jiménez,250.07,"3",Cartago,"20201222","147","913"
limitecantonal_5k.24,"305",Turrialba,1589.25,"3",Cartago,"20201222","934","4077"
limitecantonal_5k.25,"107",Mora,163.47,"1",San José,"20201222","201","3782"
limitecantonal_5k.26,"307",Oreamuno,202.9,"3",Cartago,"20201222","598","5707"
