X,Y,gmlid,cod_canton,canton,area,cod_provin,provincia,version,activos,positivos
487434.942601795,1114092.45550073,limitecantonal_5k.55,"402",Barva,56.01,"4",Heredia,"20201222","581","5140"
495598.454752012,1108822.80908409,limitecantonal_5k.56,"406",San Isidro,26.67,"4",Heredia,"20201222","177","3044"
483561.2603656,1114763.69392744,limitecantonal_5k.57,"404",Santa Bárbara,52.1,"4",Heredia,"20201222","657","4618"
452080.142983686,1110663.24337698,limitecantonal_5k.58,"207",Palmares,38.94,"2",Alajuela,"20201222","100","5033"
473586.91538463,1117460.85655446,limitecantonal_5k.59,"208",Poás,74.48,"2",Alajuela,"20201222","319","4069"
467161.984258074,1115642.57303306,limitecantonal_5k.60,"203",Grecia,142.47,"2",Alajuela,"20201222","1302","8118"
457652.458233042,1118386.94250194,limitecantonal_5k.61,"206",Naranjo,127.01,"2",Alajuela,"20201222","345","5567"
420608.966081677,1119487.58669648,limitecantonal_5k.62,"604",Montes de Oro,247.59,"6",Puntarenas,"20201222","205","1895"
467021.728225362,1126779.42258746,limitecantonal_5k.63,"212",Sarchí,136.76,"2",Alajuela,"20201222","368","2353"
557025.54679524,1120957.52841471,limitecantonal_5k.64,"703",Siquirres,855.15,"7",Limón,"20201222","382","6859"
577580.974471767,1107634.21265909,limitecantonal_5k.65,"705",Matina,770.4,"7",Limón,"20201222","231","3909"
315341.001735805,1133084.82493675,limitecantonal_5k.66,"503",Santa Cruz,1320.81,"5",Guanacaste,"20201222","1739","7391"
454680.679065375,1130028.37133349,limitecantonal_5k.67,"211",Zarcero,157.36,"2",Alajuela,"20201222","306","1872"
538745.20477662,1128065.59496555,limitecantonal_5k.68,"706",Guácimo,581.05,"7",Limón,"20201222","163","5022"
389976.706797238,1133311.01780656,limitecantonal_5k.69,"507",Abangares,646.02,"5",Guanacaste,"20201222","551","1959"
535178.532618429,1157211.41250722,limitecantonal_5k.70,"702",Pococí,2408.76,"7",Limón,"20201222","972","13753"
452302.511864757,1170925.8148532,limitecantonal_5k.71,"210",San Carlos,3352.31,"2",Alajuela,"20201222","3578","22822"
379076.357571363,1154655.20707202,limitecantonal_5k.72,"506",Cañas,687.05,"5",Guanacaste,"20201222","100","2410"
399980.179387616,1157732.15021887,limitecantonal_5k.73,"508",Tilarán,669.23,"5",Guanacaste,"20201222","169","1548"
500565.023891997,1160854.25337813,limitecantonal_5k.74,"410",Sarapiquí,2144.38,"4",Heredia,"20201222","756","5200"
324607.1182614,1157024.13847373,limitecantonal_5k.75,"505",Carrillo,599.01,"5",Guanacaste,"20201222","944","4366"
477068.510927201,1150938.97098933,limitecantonal_5k.76,"216",Río Cuarto,254.89,"2",Alajuela,"20201222","275","1158"
362006.155691838,1164608.25298356,limitecantonal_5k.77,"504",Bagaces,1277.93,"5",Guanacaste,"20201222","378","1907"
407956.154029457,1182723.35353452,limitecantonal_5k.78,"215",Guatuso,752.84,"2",Alajuela,"20201222","215","2201"
427168.605825792,1203607.55356277,limitecantonal_5k.79,"214",Los Chiles,1332.71,"2",Alajuela,"20201222","117","2901"
336979.414012525,1183209.62143856,limitecantonal_5k.80,"501",Liberia,1442.17,"5",Guanacaste,"20201222","1408","7513"
374352.300038991,1203510.87210465,limitecantonal_5k.81,"213",Upala,1592.67,"2",Alajuela,"20201222","1075","4904"
327363.379479252,1217041.94564557,limitecantonal_5k.82,"510",La Cruz,1385.38,"5",Guanacaste,"20201222","138","2786"
