gmlid,canton,area,cod_provin,provincia,version,activos,positivos
limitecantonal_5k.1,Corredores,623.61,"6",Puntarenas,"20201222","187","5949"
limitecantonal_5k.2,Golfito,1753.42,"6",Puntarenas,"20201222","155","4027"
limitecantonal_5k.3,Coto Brus,944.24,"6",Puntarenas,"20201222","87","2934"
limitecantonal_5k.4,Osa,1932.03,"6",Puntarenas,"20201222","157","3333"
limitecantonal_5k.5,Buenos Aires,2382.94,"6",Puntarenas,"20201222","375","3049"
limitecantonal_5k.6,Pérez Zeledón,1901.08,"1",San José,"20201222","647","12286"
limitecantonal_5k.7,Quepos,557.85,"6",Puntarenas,"20201222","394","4311"
limitecantonal_5k.8,Talamanca,2792.23,"7",Limón,"20201222","135","3444"
limitecantonal_5k.9,Parrita,483.22,"6",Puntarenas,"20201222","105","2181"
limitecantonal_5k.10,Tarrazú,291.27,"1",San José,"20201222","70","956"
limitecantonal_5k.11,Dota,404.44,"1",San José,"20201222","15","320"
limitecantonal_5k.12,Garabito,316.01,"6",Puntarenas,"20201222","733","4086"
limitecantonal_5k.13,León Cortés Castro,121.89,"1",San José,"20201222","44","773"
limitecantonal_5k.14,Puriscal,555.02,"1",San José,"20201222","692","2922"
limitecantonal_5k.15,Aserrí,168.26,"1",San José,"20201222","925","6459"
limitecantonal_5k.16,Desamparados,118.89,"1",San José,"20201222","2124","28055"
limitecantonal_5k.17,Acosta,342.56,"1",San José,"20201222","322","2494"
limitecantonal_5k.18,Turrubares,416.25,"1",San José,"20201222","115","385"
limitecantonal_5k.19,El Guarco,172,"3",Cartago,"20201222","493","5701"
limitecantonal_5k.20,Cartago,278.66,"3",Cartago,"20201222","2098","18765"
limitecantonal_5k.21,Puntarenas,1840.37,"6",Puntarenas,"20201222","4013","18397"
limitecantonal_5k.22,Paraíso,476.99,"3",Cartago,"20201222","118","4646"
limitecantonal_5k.23,Jiménez,250.07,"3",Cartago,"20201222","147","913"
limitecantonal_5k.24,Turrialba,1589.25,"3",Cartago,"20201222","934","4077"
limitecantonal_5k.25,Mora,163.47,"1",San José,"20201222","201","3782"
limitecantonal_5k.26,Oreamuno,202.9,"3",Cartago,"20201222","598","5707"
limitecantonal_5k.27,Alajuelita,21.47,"1",San José,"20201222","2435","13557"
limitecantonal_5k.28,Limón,1769.38,"7",Limón,"20201222","361","12198"
limitecantonal_5k.29,La Unión,44.18,"3",Cartago,"20201222","626","12177"
limitecantonal_5k.30,Curridabat,16.06,"1",San José,"20201222","264","8677"
limitecantonal_5k.31,Orotina,145.11,"2",Alajuela,"20201222","139","2695"
limitecantonal_5k.32,San José,44.62,"1",San José,"20201222","5371","51067"
limitecantonal_5k.33,Escazú,34.53,"1",San José,"20201222","1140","7945"
limitecantonal_5k.34,Alvarado,79.18,"3",Cartago,"20201222","60","1023"
limitecantonal_5k.35,Santa Ana,61.42,"1",San José,"20201222","1779","8060"
limitecantonal_5k.36,Nandayure,568.14,"5",Guanacaste,"20201222","39","897"
limitecantonal_5k.37,Montes de Oca,15.78,"1",San José,"20201222","182","5040"
limitecantonal_5k.38,Goicoechea,31.7,"1",San José,"20201222","2643","14798"
limitecantonal_5k.39,Tibás,8.27,"1",San José,"20201222","666","8739"
limitecantonal_5k.40,San Mateo,125.03,"2",Alajuela,"20201222","23","558"
limitecantonal_5k.41,Nicoya,1337.57,"5",Guanacaste,"20201222","1635","6109"
limitecantonal_5k.42,Atenas,126.31,"2",Alajuela,"20201222","658","3158"
limitecantonal_5k.43,Alajuela,391.62,"2",Alajuela,"20201222","7578","39947"
limitecantonal_5k.44,Moravia,28.82,"1",San José,"20201222","1213","5974"
limitecantonal_5k.45,Esparza,217.23,"6",Puntarenas,"20201222","678","4815"
limitecantonal_5k.46,Vázquez de Coronado,223.93,"1",San José,"20201222","670","8246"
limitecantonal_5k.47,Santo Domingo,25.4,"4",Heredia,"20201222","347","6032"
limitecantonal_5k.48,Belén,12.38,"4",Heredia,"20201222","197","3243"
limitecantonal_5k.49,San Pablo,8.34,"4",Heredia,"20201222","289","3501"
limitecantonal_5k.50,San Ramón,1021.74,"2",Alajuela,"20201222","1907","7675"
limitecantonal_5k.51,Heredia,283.11,"4",Heredia,"20201222","1812","17750"
limitecantonal_5k.52,Hojancha,262.99,"5",Guanacaste,"20201222","40","835"
limitecantonal_5k.53,Flores,6.75,"4",Heredia,"20201222","191","3294"
limitecantonal_5k.54,San Rafael,48.31,"4",Heredia,"20201222","603","5664"
limitecantonal_5k.55,Barva,56.01,"4",Heredia,"20201222","581","5140"
limitecantonal_5k.56,San Isidro,26.67,"4",Heredia,"20201222","177","3044"
limitecantonal_5k.57,Santa Bárbara,52.1,"4",Heredia,"20201222","657","4618"
limitecantonal_5k.58,Palmares,38.94,"2",Alajuela,"20201222","100","5033"
limitecantonal_5k.59,Poás,74.48,"2",Alajuela,"20201222","319","4069"
limitecantonal_5k.60,Grecia,142.47,"2",Alajuela,"20201222","1302","8118"
limitecantonal_5k.61,Naranjo,127.01,"2",Alajuela,"20201222","345","5567"
limitecantonal_5k.62,Montes de Oro,247.59,"6",Puntarenas,"20201222","205","1895"
limitecantonal_5k.63,Sarchí,136.76,"2",Alajuela,"20201222","368","2353"
limitecantonal_5k.64,Siquirres,855.15,"7",Limón,"20201222","382","6859"
limitecantonal_5k.65,Matina,770.4,"7",Limón,"20201222","231","3909"
limitecantonal_5k.66,Santa Cruz,1320.81,"5",Guanacaste,"20201222","1739","7391"
limitecantonal_5k.67,Zarcero,157.36,"2",Alajuela,"20201222","306","1872"
limitecantonal_5k.68,Guácimo,581.05,"7",Limón,"20201222","163","5022"
limitecantonal_5k.69,Abangares,646.02,"5",Guanacaste,"20201222","551","1959"
limitecantonal_5k.70,Pococí,2408.76,"7",Limón,"20201222","972","13753"
limitecantonal_5k.71,San Carlos,3352.31,"2",Alajuela,"20201222","3578","22822"
limitecantonal_5k.72,Cañas,687.05,"5",Guanacaste,"20201222","100","2410"
limitecantonal_5k.73,Tilarán,669.23,"5",Guanacaste,"20201222","169","1548"
limitecantonal_5k.74,Sarapiquí,2144.38,"4",Heredia,"20201222","756","5200"
limitecantonal_5k.75,Carrillo,599.01,"5",Guanacaste,"20201222","944","4366"
limitecantonal_5k.76,Río Cuarto,254.89,"2",Alajuela,"20201222","275","1158"
limitecantonal_5k.77,Bagaces,1277.93,"5",Guanacaste,"20201222","378","1907"
limitecantonal_5k.78,Guatuso,752.84,"2",Alajuela,"20201222","215","2201"
limitecantonal_5k.79,Los Chiles,1332.71,"2",Alajuela,"20201222","117","2901"
limitecantonal_5k.80,Liberia,1442.17,"5",Guanacaste,"20201222","1408","7513"
limitecantonal_5k.81,Upala,1592.67,"2",Alajuela,"20201222","1075","4904"
limitecantonal_5k.82,La Cruz,1385.38,"5",Guanacaste,"20201222","138","2786"
